Year,Country Name,Country Code,"Agriculture, forestry, and fishing, value added (% of GDP)","Fertility rate, total (births per woman)","Life expectancy at birth, total (years)","Mortality rate, under-5 (per 1,000 live births)",Population ages 65 and above (% of total population),CO2 emissions (metric tons per capita)
1972,World,WLD,,4.53970361,59.59650708,,5.427446495,4.347295292
1973,Australia,AUS,,2.491,71.84682927,19.4,8.540400486,12.77968685
1973,Caribbean small states,CSS,,4.433035348,66.36499881,,5.076095161,6.047184573
1973,Central African Republic,CAF,,5.944,44.695,208.8,4.667011109,0.085150803
1973,Central Europe and the Baltics,CEB,,2.246797013,70.06777719,,10.17145091,9.176709681
1973,East Asia & Pacific,EAS,,4.517431278,62.14950271,,4.175436887,1.818349009
1973,Europe & Central Asia,ECS,,2.415923404,69.404934,,10.44780596,11.8438527
1973,Latin America & Caribbean,LCN,,4.892004947,61.76894794,,4.04803706,2.057639121
1973,Middle East & North Africa,MEA,,6.54860446,54.70712182,,3.764227318,3.066924707
1973,North America,NAC,,1.880092535,71.52944731,,10.25552559,21.98175677
1973,Sub-Saharan Africa,SSF,,6.785641718,45.77361196,,3.018981621,0.928836286
1973,World,WLD,,4.410469926,60.04732476,,5.479838355,4.493253113
1974,Australia,AUS,,2.397,72.23609756,18.4,8.652742957,12.55966873
1974,Caribbean small states,CSS,,4.27994986,66.61829172,,5.153693385,5.746218375
1974,Central African Republic,CAF,,5.935,45.504,204.5,4.636175241,0.059071829
1974,Central Europe and the Baltics,CEB,,2.364163239,70.30593937,,10.39741237,9.397400141
1974,East Asia & Pacific,EAS,,4.226250399,62.84398971,,4.234030912,1.798688473
1974,Europe & Central Asia,ECS,,2.402546729,69.60873161,,10.61889679,11.86491313
1974,Latin America & Caribbean,LCN,,4.789034045,62.20354992,,4.082696985,2.118864483
1974,Middle East & North Africa,MEA,,6.490641724,55.4240294,,3.763465662,3.028070732
1974,North America,NAC,,1.835199712,72.07959682,,10.38534805,21.08159405
1974,Sub-Saharan Africa,SSF,,6.793949307,46.19101111,,3.013796158,0.959237828
1974,World,WLD,,4.288770812,60.54066306,,5.529704282,4.403581722
1975,Australia,AUS,,2.148,72.62536585,17.3,8.785701715,12.65989981
1975,Caribbean small states,CSS,,4.129701598,66.87568199,,5.227304167,6.086492956
1975,Central African Republic,CAF,,5.925,46.275,200.8,4.593367842,0.052429397
1975,Central Europe and the Baltics,CEB,,2.338123942,70.17440869,,10.60663033,9.937137353
1975,East Asia & Pacific,EAS,,3.933732662,63.51177584,,4.29785618,1.864333115
1975,Europe & Central Asia,ECS,,2.34759195,69.5832179,,10.78979734,11.96960519
1975,Latin America & Caribbean,LCN,,4.688121066,62.63051114,,4.117826622,2.095653197
1975,Middle East & North Africa,MEA,,6.44016268,56.13674721,,3.752545095,2.906121406
1975,North America,NAC,,1.779021841,72.69361493,,10.51521525,20.09168314
1975,Sub-Saharan Africa,SSF,,6.798620797,46.59977644,,3.002878928,0.905978813
1975,World,WLD,,4.15688867,60.98545571,,5.579069742,4.342628818
1976,Australia,AUS,,2.06,73.01463415,16.2,8.937622289,12.41679178
1976,Caribbean small states,CSS,,3.992704623,67.13336877,,5.360834422,6.626611179
1976,Central African Republic,CAF,,5.916,46.992,197.1,4.574880296,0.064268356
1976,Central Europe and the Baltics,CEB,,2.322320878,70.3191489,,10.83211786,10.43308314
1976,East Asia & Pacific,EAS,,3.674584202,64.12511664,,4.401220808,1.924990249
1976,Europe & Central Asia,ECS,,2.309286156,69.6839976,,10.99522138,12.50273608
1976,Latin America & Caribbean,LCN,,4.589430868,63.04782438,,4.172736733,2.179651455
1976,Middle East & North Africa,MEA,,6.394591902,56.80556991,,3.751390618,3.334677497
1976,North America,NAC,,1.743845482,72.95320432,,10.67547071,20.76000421
1976,Sub-Saharan Africa,SSF,,6.799425475,46.99677709,,3.016389978,0.926689801
1976,World,WLD,,4.040382918,61.40880302,,5.658587682,4.493090892
1977,Australia,AUS,,2.007,73.34439024,15.2,9.117669849,13.23189614
1977,Caribbean small states,CSS,,3.869682344,67.38520559,,5.49023977,7.279666637
1977,Central African Republic,CAF,,5.908,47.648,193.7,4.546896225,0.062916868
1977,Central Europe and the Baltics,CEB,,2.283256654,70.24237315,,11.04740973,10.771583
1977,East Asia & Pacific,EAS,,3.445355097,64.7094247,,4.507616612,2.03378421
1977,Europe & Central Asia,ECS,,2.255009308,69.85636606,,11.20402337,12.62745306
1977,Latin America & Caribbean,LCN,,4.490691443,63.45824462,,4.225683047,2.193869517
1977,Middle East & North Africa,MEA,,6.353908206,57.37213202,,3.740191372,3.410231178
1977,North America,NAC,,1.78919167,73.34941115,,10.83794874,21.1147368
1977,Sub-Saharan Africa,SSF,,6.79791339,47.38072445,,3.023867941,0.908366486
1977,World,WLD,,3.936737207,61.83266426,,5.736435601,4.558982918
1978,Australia,AUS,,1.949,73.67414634,14.4,9.308300047,14.06985862
1978,Caribbean small states,CSS,,3.763198276,67.62784621,,5.618668351,6.919368715
1978,Central African Republic,CAF,,5.902,48.233,190.5,4.508342582,0.070260416
1978,Central Europe and the Baltics,CEB,,2.246298547,70.14793211,,11.21599313,11.2496604
1978,East Asia & Pacific,EAS,,3.246536951,65.23410202,,4.615789928,2.117362547
1978,Europe & Central Asia,ECS,,2.219730362,69.9454524,,11.38602718,12.95591942
1978,Latin America & Caribbean,LCN,,4.391393188,63.86230017,,4.275238589,2.303319734
1978,Middle East & North Africa,MEA,,6.315177375,57.85439344,,3.721335264,3.489940265
1978,North America,NAC,,1.760808964,73.47017107,,11.00756221,21.52745739
1978,Sub-Saharan Africa,SSF,,6.793093686,47.74997973,,3.026694423,0.897780804
1978,World,WLD,,3.843072253,62.19342263,,5.806879857,4.653016254
1979,Australia,AUS,,1.907,74.00390244,13.6,9.481558315,14.12909198
1979,Caribbean small states,CSS,,3.67513548,67.86142352,,5.740205287,6.92343675
